,b=0.05,b=0.1,b=0.5
sd=0.1,0.6322676342027304,0.6623949931818846,0.6464694479144587
sd=0.2,0.6500137554291282,0.6424417365908723,0.6274321363994707
sd=0.3,0.6633995978562461,0.6156852948216041,0.6745166781804484
sd=0.4,0.6827360608828351,0.6721132639558253,0.6639223371756121
sd=0.5,0.8217620673345029,0.6437535181392496,0.662803741829307
sd=0.6,1.2338100237726968,0.6333606802114109,0.6484716271069614
sd=0.7,2.177659557704952,0.6910400204058079,0.6597526691515376
sd=0.8,3.7524702356076984,0.710072227682099,0.6479448254465361
sd=0.9,4.784929830517858,0.7586209752421073,0.6719078502249924
sd=1,5.943091838996293,0.8541727263490148,0.6822278420148479
